0:4.9152e+06;1.02026e+10;1.01252e+10
1:4.9152e+06;9.21416e+09;1.02223e+10
2:3.69152e+06;1.03332e+10;9.23323e+09
3:4.6336e+06;9.73249e+09;5.67776e+09
4:3.68128e+06;9.99479e+09;1.0443e+10
5:9.80736e+06;1.18731e+10;6.04009e+09
6:4.36224e+06;1.00918e+10;1.04991e+10
7:4.9152e+06;1.03763e+10;1.09769e+10
8:1.17965e+07;1.12903e+10;6.26044e+09
9:9.83808e+06;1.10885e+10;6.08286e+09
10:4.352e+06;1.00913e+10;1.0493e+10
11:921600;1.28571e+10;1.31567e+10
12:4.37248e+06;1.01327e+10;1.02298e+10
13:4.47488e+06;1.01628e+10;1.05349e+10
14:4.6336e+06;9.03194e+09;1.00104e+10
15:4.9152e+06;1.03763e+10;1.09801e+10
16:4.9152e+06;1.03882e+10;1.07691e+10
17:3.69152e+06;8.52624e+09;9.56471e+09
18:4.6336e+06;1.2104e+10;1.08473e+10
19:3.68128e+06;9.09983e+09;9.33236e+09
20:9.80736e+06;1.10106e+10;1.0439e+10
21:4.36224e+06;1.0103e+10;1.05055e+10
22:4.9152e+06;1.00794e+10;1.09613e+10
23:1.17965e+07;9.65608e+09;6.52183e+09
24:9.83808e+06;1.11021e+10;1.12677e+10
25:4.352e+06;1.00905e+10;8.76854e+09
26:921600;1.28801e+10;1.32597e+10
27:4.37248e+06;1.01252e+10;1.07127e+10
28:4.47488e+06;1.01628e+10;1.07743e+10
29:4.6336e+06;8.8682e+09;1.01821e+10
30:4.9152e+06;1.03763e+10;1.09816e+10
31:4.9152e+06;1.0377e+10;1.07827e+10
32:3.69152e+06;1.18965e+10;1.04502e+10
33:4.6336e+06;1.02397e+10;1.0633e+10
34:3.68128e+06;1.00895e+10;9.33236e+09
35:9.80736e+06;1.09842e+10;1.17259e+10
36:4.36224e+06;1.0097e+10;1.04942e+10
37:4.9152e+06;1.03798e+10;1.03379e+10
38:1.17965e+07;1.0882e+10;1.20055e+10
39:9.83808e+06;1.12299e+10;1.1218e+10
40:4.352e+06;1.00905e+10;8.61196e+09
41:921600;1.28801e+10;1.32597e+10
42:4.37248e+06;1.01177e+10;1.04801e+10
