size  mean_real  mean_user  mean_sys  stddev_real  stddev_user  stddev_sys
2  0  0  0  0  0  0
52  0  0  0  0  0  0
102  0  0  0  0  0  0
152  0  0  0  0  0  0
202  .004500  .001500  0  .004898  .003464  0
252  .010000  .009000  0  0  .003000  0
302  .020000  .012500  0  0  .004242  0
352  .027500  .020000  0  .004242  0  0
402  .040000  .031500  0  .003162  .003464  0
452  .051000  .046000  .000500  .003000  .004898  .002000
502  .076000  .066500  .002500  .009165  .007211  .005291
552  .099500  .089000  .002500  .009165  .008888  .004242
602  .116000  .106000  .004500  .004898  .005830  .004898
652  .152500  .138500  .009500  .017832  .013114  .003741
702  .185500  .171500  .008500  .014282  .010583  .004690
752  .209500  .195500  .010000  .008000  .007348  0
802  .295000  .276500  .012500  .032171  .030033  .004242
852  .291500  .276000  .010500  .004690  .006633  .002000
902  .359000  .341500  .011000  .005385  .007874  .003000
952  .420500  .400500  .013000  .023537  .023958  .004582
1002  .508000  .483500  .019500  .022494  .021260  .005830
